Market_ID,TV_Spend_k,Radio_Spend_k,Newspaper_Spend_k,Sales_k_units
0,233.3,38.9,30.2,24.44
1,134.5,48.6,91.8,19.56
2,258.3,25.0,78.1,21.62
3,210.7,7.2,11.1,11.52
4,32.8,0.7,99.7,4.46
5,292.8,11.5,87.9,19.56
6,229.5,6.6,28.4,14.42
7,236.9,33.9,83.7,22.91
8,42.8,6.1,10.6,10.8
9,137.9,25.3,99.9,13.83
10,114.4,34.7,66.6,15.04
11,278.4,29.1,65.0,23.06
12,194.9,10.0,9.0,17.77
13,247.7,40.2,89.7,21.51
14,135.8,35.8,2.9,17.81
15,72.0,36.9,24.1,17.72
16,168.6,6.6,14.3,10.72
17,23.8,6.2,77.7,4.85
18,249.2,46.4,19.8,23.89
19,191.3,19.9,91.1,16.24
20,228.6,15.0,65.6,19.08
21,109.6,24.4,3.6,14.47
22,291.4,33.1,0.5,21.07
23,268.5,47.8,5.2,26.49
24,234.6,14.3,60.6,16.98
25,62.4,46.2,80.1,18.29
26,142.7,1.2,23.9,10.2
27,17.9,27.8,84.9,9.73
28,50.5,31.7,5.7,13.67
29,206.5,5.3,80.1,16.18
30,224.7,7.0,92.8,16.85
31,290.4,21.0,77.2,19.01
32,101.1,48.3,69.8,19.23
33,114.3,29.8,83.8,13.82
34,143.5,46.7,4.0,20.21
35,60.9,40.2,20.2,12.64
36,43.3,23.4,12.5,11.63
37,145.3,39.2,50.5,17.31
38,71.9,0.9,74.5,6.0
39,202.6,5.5,63.0,15.92
40,134.0,41.5,85.1,18.96
41,250.6,39.8,15.5,22.4
42,211.6,11.6,73.5,18.7
43,97.1,26.5,19.3,13.25
44,250.5,30.3,27.1,21.64
45,242.4,43.4,71.0,24.22
46,119.3,30.2,98.0,14.8
47,90.1,20.6,61.2,13.35
48,206.3,18.7,5.5,16.5
49,46.2,21.3,61.6,10.09
50,64.0,32.6,4.2,15.76
51,7.2,43.4,88.4,11.58
52,237.1,22.7,71.0,15.76
53,201.1,12.4,17.3,18.52
54,213.0,11.8,9.2,20.43
55,235.3,37.3,18.4,21.56
56,140.4,40.8,98.0,15.67
57,172.8,5.3,45.9,12.87
58,46.2,3.3,78.4,6.91
59,38.8,29.7,63.6,11.72
60,202.2,7.3,57.2,13.32
61,144.0,41.2,14.5,19.77
62,171.7,15.5,94.6,16.21
63,230.7,7.2,30.1,13.92
64,192.2,46.0,57.8,23.13
65,168.3,8.3,70.0,17.07
66,170.0,14.2,64.9,15.26
67,94.7,7.7,94.1,9.87
68,14.1,5.8,14.8,6.03
69,133.8,1.1,50.8,11.81
70,68.3,2.8,40.4,5.41
71,125.5,8.7,47.4,12.17
72,256.8,2.7,11.9,15.96
73,74.0,29.6,13.4,16.43
74,22.2,34.0,27.8,11.74
75,88.0,19.7,30.5,14.93
76,91.6,15.9,42.8,9.96
77,200.3,25.2,61.1,19.37
78,169.3,43.8,63.5,21.07
79,236.2,42.6,41.2,21.91
80,201.0,2.2,40.9,14.32
